DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Poland,Warsaw,BAT,Regular,Lights,STD,KS,2,14638800,0.1
Serbia,Nis,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,3,6353200,0.1
Uzbekistan,Tashkent,JTI,Menthol,Full Flavor,SSL,100,1,1447800,7.7
China,Qingdao Liuting,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,12695442,0
Armenia,Yerevan,BAT,Regular,Lights,SSL,100,1,271288200,11.9
India,Indira Gandhi,KING'S TOBACCO,,,,,1,441531,0
Jamaica,Montego Bay,BAT,Regular,Full Flavor,SSL,100,1,18915200,0.5
South Korea,Cheongju,BAT,Menthol,1mg,STD,KS,1,1533000,0
Tunisia,Tunis,BAT,Regular,Full Flavor,STD,100,3,11050800,0
Italy,Pisa,JTI,Regular,Full Flavor,STD,KS,2,64867200,0.3
South Korea,Daegu (downtown),BAT,Regular,Lights,STD,KS,1,139200000,0.1
Turkey,Eskisehir Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,2210000,0
Saudi Arabia,DAMMAM,IMPERIAL BRANDS,Regular,Full Flavor,SSL,KS,1,4408000,0
Switzerland,Zurich,BAT,Regular,Lights,STD,KS,2,529950600,0.7
Japan,Osaka - Kansai,JTI,Regular,Full Flavor,STD,100,2,62176800,0.2
United Arab Emirates,Dubai,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,80489200,0.1
El Salvador,San Salvador Comalapa,BAT,Menthol,Full Flavor,STD,KS,2,26391200,7.9
Mexico,Los Cabos,BAT,Regular,Full Flavor,SSL,100,1,15382400,0.1
Tunisia,Enfidha,BAT,Menthol,Full Flavor,SSL,100,1,129200,0
Turkey,Bodrum Airport,BAT,Regular,Full Flavor,STD,100,3,27392600,0
Cape Verde,Espargos,IMPERIAL BRANDS,,,,,1,2062361,0.1
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,65661600,0
Great Britain,Manchester,JTI,Regular,Lights,STD,KS,2,266855400,0.2
Turkey,Kayseri Airport,KARELIA TOBACCO,Regular,Lights,STD,KS,1,3056200,0
Malaysia,Penang,BAT,Menthol,Full Flavor,STD,KS,1,660000,0
Reunion,Roland Garros,BAT,Regular,Full Flavor,SSL,100,1,512946000,4.5
China,Chengdu Tianfu,JTI,Regular,1mg,STD,KS,1,75169892,0
Turkey,Antalya Gazipasa Airport,BAT,Menthol,Full Flavor,STD,KS,1,3714600,0
China,Wuxi Shuofang,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,4767492,0
United Arab Emirates,Sharjah,IMPERIAL BRANDS,Regular,1mg,SLI,100,1,2055000,0
Bosnia-Herzegovinia,Banja Luka,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,396000,0.2
Mauritania,Nouakchott,BAT,Menthol,Full Flavor,SSL,100,1,6219600,2.6
Spain,Granada,BAT,Regular,Full Flavor,STD,KS,1,7128200,0
China,Dalian Zhoushuizi,JTI,Menthol,Full Flavor,STD,KS,1,3012338,0
Spain,Alicante,BAT,Regular,Ultralights,STD,KS,1,559551600,0.6
Germany,Cologne,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,88740000,1.2
Italy,Naples,BAT,Regular,Lights,SSL,100,1,266516200,1.1
Great Britain,Bristol,BAT,Regular,Full Flavor,STD,KS,2,550606600,0.4
Netherlands,Amsterdam - Schiphol,OTHER LOCAL TMO IND.,,,,,1,15479851,3.6
Mexico,Mexico City,JTI,Menthol,Full Flavor,SSL,100,1,49883400,0.2
Peru,Lima,JTI,Regular,Lights,STD,KS,2,1417561200,22.6
Nicaragua,Managua,BAT,Menthol,Full Flavor,STD,KS,1,5921200,9.1
Germany,Bremen,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,7562400,0.1
Taiwan,Kaohsiung,KT & G,Menthol,Full Flavor,SSL,100,1,30459954,0
China,Shenyang Taoxian,JTI,Regular,Lights,STD,KS,4,67802617,0
China,Qingdao Liuting,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,52695984,0
Canary Islands,La Palma,BAT,Regular,Lights,STD,KS,1,3286000,0
China,Xian Xianyang,JTI,Menthol,Lights,STD,KS,1,21102846,0
Great Britain,Leeds Bradford,JTI,NTD Caps,Full Flavor,STD,KS,1,108276000,0.1
Italy,Verona,KING'S TOBACCO,Regular,Lights,STD,KS,1,4009800,0
Turkey,Antalya Airport,KT & G,Regular,Lights,SSL,100,1,945000,0
Turkey,Diyarbakir Airport,BAT,Menthol,Full Flavor,STD,KS,1,936200,0
Turkey,Antalya Airport,KING'S TOBACCO,Regular,Full Flavor,STD,KS,2,45250800,0
Spain,Barcelona,KING'S TOBACCO,Regular,Ultralights,SSL,100,1,7471200,0
Morocco,Tangier,BAT,Regular,Ultralights,STD,KS,1,16769600,0
United Arab Emirates,Dubai,KARELIA TOBACCO,Menthol,Lights,SSL,100,1,2211000,0
Greece,Zakynthos,JTI,NTD Caps,Full Flavor,STD,KS,1,4200000,0
Curazao,Curacao,BAT,,,,,1,1074219,23
Canary Islands,Gran Canaria,IMPERIAL BRANDS,Regular,Lights,STD,100,1,431664000,0.3
China,Yancheng Nanyang,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,3,24320,0
Dominican Republic,Punta Cana - Higuey,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,43120000,0.3
China,Xiamen Gaoqi,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,370988,0
Italy,Milan - Malpensa,BAT,Regular,Lights,SLI,100,1,105362000,0.4
China,Xiamen Gaoqi,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,72846490,0
Switzerland,Zurich,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,109910400,0.1
Turkey,Gaziantep Airport,BAT,Regular,Full Flavor,SSL,100,2,10382200,0
South Korea,Seoul (downtown),KT & G,Menthol Caps,Full Flavor,SSL,100,1,76230000,0
Cambodia,Phnom Penh,CHINA NATIONAL,Regular,Full Flavor,SSL,100,1,16935600,1.1
China,Xian Xianyang,JTI,Regular,1mg,STD,KS,1,47556720,0
South Korea,Jeju,KT & G,NTD Caps,Full Flavor,SSL,100,1,1729546600,0.8
Morocco,Casablanca,CHINA NATIONAL,Regular,Full Flavor,STD,KS,2,48538800,0
Canary Islands,Gran Canaria,JTI,NTD Caps,Full Flavor,STD,KS,1,64379000,0
Turkey,Istanbul Asia Airport,JTI,Regular,1mg,STD,KS,1,22967000,0
China,Hangzhou Xiaoshan,BAT,Menthol,Full Flavor,STD,KS,1,22747704,0
Albania,Tirana,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,230488800,0.9
Turkey,Bodrum Airport,KARELIA TOBACCO,Regular,1mg,SSL,100,1,14654400,0
Tunisia,Enfidha,BAT,Regular,Full Flavor,STD,100,1,33800,0
Saudi Arabia,RIYADH,BAT,Regular,Ultralights,STD,KS,1,32674000,0.1
Ethiopia,Addis Ababa,BAT,NTD Caps,Full Flavor,STD,KS,3,12470600,0.3
China,Hohhot Baita,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,4796478,0
Saudi Arabia,Medina,BAT,Regular,Ultralights,STD,KS,1,2883000,0
Turkey,Konya Airport,BAT,Regular,Lights,SSL,100,1,4294800,0
Mexico,Ixtapa Zihuatanejo,BAT,Menthol,Full Flavor,STD,KS,1,812200,0
Senegal,Leopold Sedar Senghar,BAT,Regular,Full Flavor,SSL,KS,1,18400,0
