DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Belgium,Brussels,BAT,Regular,Lights,SSL,100,1,297534200,8.4
Taiwan,Kaohsiung,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,1061781959,0.6
Morocco,Tangier,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,2926430,0
Vietnam,Hanoi,IMPERIAL BRANDS,,,,,1,60000,0
Saudi Arabia,Medina,BAT,Regular,Full Flavor,STD,KS,4,533341400,1
Poland,Warsaw-Modlin,JTI,Regular,Full Flavor,STD,KS,1,42902800,0.2
China,Changsha Huanghua,JTI,Regular,Full Flavor,STD,100,1,3434592,0
South Korea,Busan - Kimhae (downtown),KT & G,NTD Caps,Full Flavor,SSL,100,1,68190400,0
China,Fuzhou Changle,JTI,NTD Caps,Full Flavor,STD,KS,1,1118720,0
Spain,A Coruna,BAT,Regular,Lights,STD,KS,1,9964000,0
Turkey,Konya Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,95400,0
China,Shanghai Hongqiao,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,98521320,0
Canary Islands,Fuerteventura,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,9562600,0
South Korea,Cheongju,KT & G,NTD Caps,Full Flavor,STD,KS,3,9685800,0
South Korea,Incheon,KT & G,NTD Caps,Ultralights,STD,KS,1,458610200,0.2
United Arab Emirates,Dubai,OTHER LOCAL TMO IND.,NTD Caps,Ultralights,SSL,100,1,14808000,0
Morocco,Rabat,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,4504370,0
Mexico,Cozumel,BAT,Regular,Full Flavor,SSL,100,1,5078400,0
Italy,Verona,JTI,Regular,Ultralights,STD,KS,1,420000,0
India,Bangalore,ITC Ltd.,Regular,Full Flavor,STD,KS,1,21601600,1
China,Jinan Xiaoqiang,BAT,Regular,Full Flavor,STD,100,1,3093200,0
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,100,1,1316000,0
Mongolia,Ulaanbaatar,KT & G,Regular,Lights,SSL,100,1,18900000,5.3
Turkey,Bodrum Airport,KARELIA TOBACCO,Menthol,Lights,SSL,100,1,52984400,0
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,1485000,0
Tunisia,Sfax,BAT,Regular,Full Flavor,SSL,100,1,1444800,0
China,Hangzhou Xiaoshan,BAT,Regular,1mg,STD,KS,1,18025300,0
Portugal,Porto,KING'S TOBACCO,NTD Caps,Lights,SSL,100,1,652800,0
Serbia,Belgrade,KARELIA TOBACCO,Menthol,Lights,SSL,100,1,20488600,0.2
South Korea,Muan,KT & G,Regular,Full Flavor,STD,KS,1,1432200,0
China,Qingdao Liuting,KT & G,Menthol,Full Flavor,SSL,100,1,36099197,0
Saudi Arabia,RIYADH,BAT,Menthol,Full Flavor,SSL,100,1,450026800,0.9
China,Yanji Zhaoyangchuan,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,247160,0
Mexico,Cozumel,JTI,Regular,Full Flavor,SSL,100,1,787200,0
Jordan,Amman,JTI,Menthol,Full Flavor,STD,100,2,48474000,0.2
Egypt,Cairo,JTI,,,,,1,4266839,0.1
Great Britain,London Stansted,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,39113200,0
France,Lyon Saint Exupery,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,5773200,0
Morocco,Marrakech,JTI,Menthol,Full Flavor,STD,100,1,835800,0
Tanzania,Dar Es Salaam,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,2937000,0.3
China,Chengdu Tianfu,BAT,Regular,Full Flavor,STD,100,1,35073240,0
Morocco,Essaouira,BAT,Regular,Lights,STD,KS,1,6026100,0
China,Chongqing Jiangbei,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,20055230,0
South Korea,Jeju (downtown),KT & G,Regular,1mg,SLI,100,1,14245000,0
South Korea,Busan - Kimhae (downtown),KT & G,Regular,Ultralights,STD,KS,1,888000,0
Bulgaria,Sofia,BAT,Regular,Lights,STD,KS,1,919200,0
China,Xuzhou Guanyin,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,1630,0
Russia,Moscow - Domodedovo,JTI,Regular,Ultralights,STD,100,1,16200,0
China,Chongqing Jiangbei,JTI,Menthol,Lights,STD,KS,1,24858123,0
China,Jinan Xiaoqiang,JTI,Regular,1mg,STD,KS,1,6630684,0
Spain,Sevilla,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,4617600,0
Ethiopia,Addis Ababa,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,5270400,0.1
China,Yinchuan Hedong,JTI,Menthol,Lights,STD,KS,1,942141,0
China,Yanji Zhaoyangchuan,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,31720,0
Brazil,Viracopos,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,977200,0
Greece,Thessaloniki,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,7447200,0
China,Urumchi Diwobao,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,21537985,0
China,Hangzhou Xiaoshan,CHINA NATIONAL,,,,,1,1160564,0
Tunisia,Tunis,JTI,Regular,Full Flavor,STD,100,1,11298400,0
Hong Kong,Hong Kong,BAT,Regular,Full Flavor,SSL,100,1,15202777,0
Curazao,Curacao,JTI,,,,,1,3067444,65.7
Morocco,Ouarzazate,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,199550,0
Vietnam,Danang Downtown Shop,KT & G,,,,,1,23200,0
China,Hohhot Baita,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,1331950,0
China,Shanghai Pudong,CHINA NATIONAL,Regular,Lights,STD,KS,1,1959625668,0.5
China,Changchun Longjia,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,223780,0
China,Weihai Dashuibo,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,784550,0
Colombia,Medellin Jose Maria Cordova,JTI,,,,,1,395436,0
Greece,Thessaloniki,IMPERIAL BRANDS,Regular,Lights,STD,100,1,24316800,0.1
Turkey,Istanbul Asia Airport,KT & G,Regular,Lights,SSL,100,1,518400,0
China,Dalian Zhoushuizi,BAT,Regular,Full Flavor,STD,100,1,14941980,0
Switzerland,Zurich,BAT,Regular,Ultralights,STD,KS,1,58069200,0.1
China,Nanning Wuxu,BAT,Regular,1mg,STD,KS,1,2861152,0
Spain,Santiago De Compostela,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,3905400,0
Saudi Arabia,RIYADH,BAT,Regular,Lights,SSL,100,1,524442800,1
Great Britain,Cardiff,JTI,NTD Caps,Full Flavor,STD,KS,1,25116000,0
Taiwan,Taipei - Taoyuan,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,669655008,0.4
China,Fuzhou Changle,CHINA NATIONAL,,,,,1,21670,0
China,Hangzhou Xiaoshan,JTI,Regular,1mg,STD,KS,1,141419332,0
Italy,Rome Fiumicino,JTI,Regular,1mg,STD,KS,1,12288000,0.1
Great Britain,Southampton,BAT,Regular,Ultralights,STD,KS,1,24173200,0
Cambodia,Sihanoukville,KT & G,Regular,Lights,SSL,100,1,168000,0
China,Ningbo Lishe,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,17930,0
Israel,Tel-Aviv,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,1291974792,4.4
Turkey,Adana Airport,JTI,Regular,Lights,STD,KS,1,13305600,0
Bahrain,Manama,BAT,Menthol,Full Flavor,SSL,100,1,93620600,0.4
India,Bangalore,KING'S TOBACCO,Regular,Full Flavor,STD,KS,1,72800,0
Canary Islands,La Palma,JTI,Regular,Ultralights,STD,KS,1,2287800,0
Malaysia,Kuala Lumpur,BAT,Regular,Lights,STD,KS,1,114915000,0.6
China,Dalian Zhoushuizi,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,2400792,0
China,Chongqing Jiangbei,BAT,Regular,1mg,STD,KS,1,7205456,0
China,Beijing,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,1125683928,0.3
Kazakhstan,Astana,BAT,Menthol,Full Flavor,SSL,100,1,48068000,7.2
Russia,Novosibirsk,SHANGHAI CIG.,Regular,Full Flavor,STD,KS,1,30400,0
China,Wuxi Shuofang,BAT,Regular,1mg,STD,KS,1,799028,0
Jordan,Amman,BAT,Menthol,Lights,SSL,100,1,320640000,1.3
Italy,Naples,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,777000,0
China,Shanghai Pudong,JTI,Regular,1mg,STD,KS,1,1631222392,0.4
Russia,Moscow - Vnukovo,BAT,Regular,Lights,SSL,100,1,715800,0
Great Britain,Glasgow Prestwick,IMPERIAL BRANDS,Regular,Lights,STD,100,1,897600,0
Kenya,Jomo Kenyatta,JTI,Menthol,Lights,STD,KS,1,5417800,0.2
South Korea,Busan - Kimhae,KT & G,Regular,1mg,SLI,100,1,201293400,0.1
Turkey,Cukurova Airport,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,216000,0
Greece,Mykonos,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,5392800,0
Saudi Arabia,RIYADH,BAT,Regular,Full Flavor,SSL,100,1,615659400,1.2
Turkey,Eskisehir Airport,BAT,Menthol,Lights,SSL,100,1,3552000,0
Armenia,Yerevan,JTI,Regular,Full Flavor,STD,100,1,15946800,0.7
Tunisia,Jerba,IMPERIAL BRANDS,,,,,1,52738,0
China,Taiyuan Wusu,CHINA NATIONAL,Regular,Lights,STD,KS,1,5726992,0
India,Netaji Subhash Chandra Bose Int. Airport,BAT,,,,,1,29936,0
Ireland,Dublin,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,233984400,1.9
China,Ningbo Lishe,JTI,Regular,1mg,STD,KS,1,3819560,0
Japan,Tokyo - Narita,JTI,Regular,Full Flavor,STD,KS,37,7232551600,19
Malaysia,Kuala Lumpur,JTI,Regular,Full Flavor,STD,KS,5,3600229000,19.5
Great Britain,Manchester,BAT,Regular,Full Flavor,STD,KS,3,2770622400,2
China,Beijing,BAT,Regular,Full Flavor,STD,100,1,342565820,0.1
Great Britain,Exeter,BAT,Regular,Ultralights,STD,KS,1,7403600,0
Great Britain,Birmingham,IMPERIAL BRANDS,Regular,Lights,STD,KS,5,592364400,0.4
Turkey,Dalaman Airport,BAT,,,,,1,13248058,0
Portugal,Faro Airport,JTI,Regular,Full Flavor,STD,KS,6,1848414800,13
China,Hohhot Baita,JTI,Menthol,Lights,STD,KS,1,1585479,0
South Korea,Seoul (downtown),BAT,Menthol,1mg,STD,KS,1,452600,0
China,Hefei Xinqiao,BAT,Regular,Full Flavor,STD,KS,15,70897291,0
Brazil,Rio de Janeiro,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,75444800,0.7
Switzerland,Geneva,BAT,Regular,Full Flavor,STD,KS,16,2421351280,3
Turkey,Antalya Gazipasa Airport,JTI,Regular,Full Flavor,STD,KS,8,215335400,0.1
Spain,Mahon Airport,JTI,Regular,Full Flavor,STD,KS,11,420794400,0.5
Spain,Jerez De La Frontera,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,9,12408400,0
Spain,Alicante,KING'S TOBACCO,Regular,Lights,STD,KS,2,44389200,0.1
Mexico,Guadalajara,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,1747400,0
Grenada,St. George's Point Saline,BAT,Regular,Full Flavor,STD,KS,6,11091800,10.8
Greece,Kavala,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,31842200,0.1
Japan,Chubu,JTI,Regular,Full Flavor,STD,KS,36,2619751200,6.9
Turkey,Bodrum Airport,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,2,15140400,0
Tunisia,Sfax,BAT,Menthol,Full Flavor,SSL,100,1,4316800,0
Greece,Santorini,JTI,Regular,Full Flavor,STD,KS,5,248992200,0.8
Japan,Osaka - Kansai,KT & G,NTD Caps,Lights,STD,100,1,227400,0
Turkey,Diyarbakir Airport,JTI,Regular,Full Flavor,STD,100,2,443400,0
Japan,Okayama,BAT,Regular,Lights,STD,KS,2,6768200,0
Tunisia,Jerba,BAT,Regular,Full Flavor,STD,KS,12,2032671800,5.2
China,Ningbo Lishe,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,4506340,0
Russia,Min Vody,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,684000,0
Spain,Malaga,JTI,Regular,Full Flavor,STD,KS,11,3320512200,3.8
Greece,Zakynthos,JTI,Regular,Lights,STD,100,1,4000000,0
China,Guangzhou Baiyun,BAT,Regular,Full Flavor,STD,KS,15,4689421055,1.2
China,Changsha Huanghua,BAT,Regular,Full Flavor,STD,KS,15,185332698,0
Italy,Ciampino Airport,JTI,Regular,1mg,STD,KS,1,806400,0
El Salvador,San Salvador Comalapa,JTI,Regular,Full Flavor,STD,KS,3,117488000,35.4
Morocco,Casablanca,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,76330000,0.1
China,Yanji Zhaoyangchuan,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,1358300,0
Brazil,Viracopos,CHINA NATIONAL,Regular,Full Flavor,STD,KS,2,350400,0
Brazil,Sao Paulo - Guarulhos,BAT,NTD Caps,Full Flavor,STD,KS,5,158171200,1.5
China,Hangzhou Xiaoshan,CHINA NATIONAL,Regular,Lights,STD,KS,1,179564485,0
China,Nanchang Changbei,KT & G,NTD Caps,Lights,SSL,100,1,190617,0
France,Nice,BAT,Regular,Full Flavor,STD,KS,3,214201000,0.5
Germany,Munich,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,6789000,0.1
South Korea,Daegu,KT & G,Menthol Caps,Full Flavor,STD,KS,1,8239800,0
Great Britain,London Southend Airport,BAT,Regular,Ultralights,STD,KS,1,21229600,0
Greece,Athens,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,124656000,0.4
United Arab Emirates,Abu Dhabi,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,530053200,0.3
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,2,7210800,0
Taiwan,Everrich Downtown Kinmen,TAIWAN TOBACCO & LIQ,Regular,Full Flavor,STD,KS,4,180664494,0.1
Cambodia,Sihanoukville,JTI,Regular,Full Flavor,STD,KS,6,5744600,0.4
Cape Verde,Rabil,BAT,Regular,Full Flavor,STD,KS,1,19148800,0.6
Turkey,Izmir Airport,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,455905600,0.2
Turkey,Diyarbakir Airport,BAT,NTD Caps,Full Flavor,STD,KS,3,7446400,0
Maldives,Male,SHANGHAI CIG.,,,,,1,423965,3.1
Cambodia,Phnom Penh,KT & G,Regular,Lights,STD,KS,2,189600,0
China,Nanning Wuxu,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,945561,0
Brazil,Belo Horizonte,JTI,Regular,Full Flavor,STD,KS,10,54622000,0.5
Greece,Heraklion Airport,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,1,4387800,0
Japan,Fukuoka,JTI,Menthol,Full Flavor,SLI,100,2,14186000,0
Great Britain,Norwich,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,10070600,0
Italy,Bergamo,BAT,Regular,Lights,SLI,100,1,24130400,0.1
Turkey,Eskisehir Airport,KARELIA TOBACCO,Regular,Lights,SSL,100,1,1062000,0
China,Hangzhou Xiaoshan,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,478441678,0.1
Great Britain,Aberdeen,JTI,Regular,Lights,STD,KS,1,12672000,0
Serbia,Belgrade,JTI,Regular,Full Flavor,STD,KS,3,3023870400,27.9
China,Jinan Xiaoqiang,JTI,Menthol,Full Flavor,STD,KS,1,623974,0
China,Nanning Wuxu,BAT,Regular,Full Flavor,STD,KS,14,155040789,0
Mexico,Puerto Vallarta,BAT,NTD Caps,Full Flavor,STD,KS,2,5786600,0
Poland,Olsztyn,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,1812200,0
China,Harbin Taiping,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,325770,0
China,Mudanjiang Hailang,JTI,Regular,1mg,STD,KS,1,211560,0
Poland,Krakow Balice,BAT,Regular,Full Flavor,STD,KS,2,9085800,0
Saudi Arabia,DAMMAM,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,663968800,1.3
Cambodia,Phnom Penh,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,17048800,1.1
Spain,Murcia,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,52498200,0.1
Spain,Santander,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,44747400,0.1
Dominican Republic,Samana El Catey,BAT,Regular,Lights,SSL,100,1,11930000,0.1
Turkey,Izmir Airport,JTI,Regular,Lights,STD,100,1,1664800000,0.7
Italy,Milan - Malpensa,KING'S TOBACCO,Regular,Lights,STD,KS,1,9356200,0
Sri Lanka,Colombo,JTI,Regular,Full Flavor,STD,KS,7,1827098800,35.1
Egypt,Cairo,BAT,,,,,1,8553172,0.2
Spain,Sevilla,IMPERIAL BRANDS,Regular,Lights,STD,100,1,46104000,0.1
Saudi Arabia,RIYADH,ITC Ltd.,NTD Caps,Full Flavor,STD,KS,1,95963200,0.2
United Arab Emirates,Dubai,JTI,Regular,Lights,STD,KS,3,23871628200,15.2
Tunisia,Jerba,KARELIA TOBACCO,Regular,Lights,SSL,100,1,560000,0
South Korea,Daegu (downtown),KT & G,NTD Caps,Full Flavor,SSL,100,1,49050000,0
Australia,Brisbane,BAT,,,,,1,221422,0.3
Kuwait,Kuwait,JTI,NTD Caps,Full Flavor,STD,KS,2,115907800,0.6
China,Zhengzhou Xinzheng,JTI,NTD Caps,Full Flavor,STD,KS,1,3457792,0
Kazakhstan,Almaty,BAT,,,,,1,66130,0
Egypt,Alexandria,BAT,,,,,1,365618,0
Japan,Osaka - Kansai,BAT,NTD Caps,Full Flavor,STD,KS,3,77015200,0.2
Spain,Jerez De La Frontera,JTI,Regular,Full Flavor,STD,KS,6,20489200,0
China,Yanji Zhaoyangchuan,CHINA NATIONAL,,,,,1,27070,0
Russia,Volgograd,JTI,Regular,Full Flavor,STD,100,1,57600,0
China,Fuzhou Changle,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,147113180,0
China,Mudanjiang Hailang,JTI,Menthol,Full Flavor,STD,KS,1,20600,0
Mexico,Cozumel,BAT,Regular,Full Flavor,STD,KS,7,12728400,0.1
Burundi,Bujumbura,BAT,,,,,1,63920,40
Kyrgyzstan,Manas,INTL. MASIS TABAK,Regular,Full Flavor,STD,KS,2,1284800,0.2
United Arab Emirates,Dubai,BAT,Regular,Full Flavor,STD,KS,4,21738971200,13.9
Turkey,Kayseri Airport,BAT,NTD Caps,Full Flavor,STD,KS,1,3903200,0
Spain,Gerona,BAT,Regular,Lights,STD,KS,2,50928000,0.1
South Korea,Seoul,BAT,NTD Caps,Full Flavor,STD,KS,2,16538800,0
Morocco,Tangier,BAT,Regular,Full Flavor,STD,KS,9,1316550878,1
Japan,Osaka - Kansai,BAT,Menthol Caps,Full Flavor,SSL,100,4,515725200,1.4
Tunisia,Monastir,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,2578464600,6.6
China,Nanjing Lukou,BAT,Regular,Lights,STD,KS,2,102433020,0
Indonesia,Soekarno Hatta,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,200800,0
Georgia,Tbilisi,OTHER LOCAL TMO IND.,,,,,1,5758841,49.1
Poland,Elblag,JTI,Regular,Lights,STD,KS,2,678932400,3.2
China,Nanchang Changbei,BAT,Menthol,Full Flavor,STD,KS,1,60144,0
Vietnam,Danang,JTI,Regular,Full Flavor,STD,KS,3,157909000,2.1
Cape Verde,Praia,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,8,48152000,1.6
Jordan,Aqaba,BAT,Regular,Full Flavor,STD,KS,9,28479200,0.1
Great Britain,East Midlands,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,16097400,0
China,Urumchi Diwobao,BAT,Regular,1mg,STD,KS,1,6672912,0
China,Harbin Taiping,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,33800,0
Indonesia,Ngurah Rai,IMPERIAL BRANDS,,,,,1,1545,0
Greece,Santorini,JTI,NTD Caps,Full Flavor,STD,KS,1,9450000,0
Morocco,Marrakech,BAT,NTD Caps,Full Flavor,STD,KS,1,92851478,0.1
Dominican Republic,Samana El Catey,JTI,NTD Caps,Full Flavor,STD,KS,2,3470600,0
South Korea,Cheongju,JTI,Regular,Full Flavor,STD,KS,8,58557000,0
Japan,Fukuoka,BAT,Menthol,Full Flavor,STD,KS,2,14435200,0
Turkey,Trabzon Airport,JTI,Regular,Full Flavor,STD,KS,3,32755000,0
South Korea,Busan - Kimhae,KT & G,Regular,Full Flavor,STD,KS,2,172308400,0.1
Japan,Osaka - Kansai,JTI,Regular,1mg,STD,KS,4,450062000,1.2
China,Nanjing Lukou,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,52396878,0
Spain,Madrid Barajas,BAT,Regular,Full Flavor,STD,KS,6,1858068800,2.1
Turkey,Antalya Gazipasa Airport,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,9501600,0
Cambodia,Phnom Penh,OTHER LOCAL TMO IND.,Regular,Full Flavor,STD,KS,1,1168400,0.1
France,Paris Orly,JTI,Regular,Full Flavor,STD,KS,5,3156770800,6.7
Turkey,Istanbul Asia Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,5,590334200,0.2
Russia,Moscow - Vnukovo,JTI,Regular,Full Flavor,STD,KS,5,327882200,10.1
New Zealand,Auckland,CHINA NATIONAL,,,,,1,84449,5.5
Spain,Madrid Barajas,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,4884000,0
Greece,Alexandoupolis,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,132379200,0.5
Greece,Skiathos,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,304840200,1
South Korea,Yangyang,JTI,NTD Caps,Full Flavor,STD,KS,1,14800,0
Turkey,Samsun Airport,BAT,Regular,Lights,SSL,100,1,252200200,0.1
Switzerland,Basel,JTI,Regular,1mg,STD,KS,1,5952000,0
Spain,Valencia,JTI,NTD Caps,Full Flavor,STD,KS,1,1292000,0
China,Wuxi Shuofang,JTI,Regular,Full Flavor,STD,100,1,918097,0
Kenya,Jomo Kenyatta,BAT,Regular,Lights,SLI,100,1,4142200,0.1
Japan,Okayama,BAT,Menthol,Full Flavor,STD,KS,2,171800,0
Colombia,Cali,BAT,Regular,Lights,SSL,100,1,5726400,0.1
Japan,Takamatsu,BAT,,,,,1,99051,0
Austria,Graz,OTHER LOCAL TMO IND.,,,,,1,218519,3.2
Greece,Thessaloniki,JTI,Regular,Ultralights,STD,KS,2,20581200,0.1
Gambia,Banjul,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,290430400,28.4
United Arab Emirates,Dubai,BAT,NTD Caps,Full Flavor,STD,KS,5,1304699200,0.8
Turkey,Samsun Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,9788800,0
Greece,Athens,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,3,366492800,1.3
Italy,Rome Fiumicino,BAT,Regular,Full Flavor,STD,KS,4,451715600,1.9
Turkey,Diyarbakir Airport,BAT,Regular,Lights,SSL,100,1,127651000,0.1
Russia,Moscow - Sheremetyevo,JTI,Regular,Lights,STD,100,1,69360000,2.1
China,Kunming Wujiaba,JTI,Regular,Lights,STD,KS,4,49789685,0
Morocco,Ouarzazate,BAT,Menthol,Full Flavor,SSL,100,2,5743668,0
Tunisia,Tunis,JTI,Regular,Full Flavor,SSL,100,1,2656800,0
Sri Lanka,Bandaranaike,JTI,,,,,1,171030,0
China,Sanya Fenghuang,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,2222860,0
Italy,Naples,JTI,Regular,Ultralights,STD,KS,1,481600,0
China,Yantai Penglai,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,3098005,0
China,Changchun Longjia,JTI,Regular,Full Flavor,STD,100,1,435780,0
Cambodia,Sihanoukville,CHINA NATIONAL,Regular,Full Flavor,SSL,100,1,35200,0
Brazil,Brasilia,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,55200,0
Germany,Munich,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,177990000,2.4
Germany,Munich,JTI,Regular,Ultralights,STD,KS,1,1350400,0
Cape Verde,Praia,BAT,,,,,1,86477,0
Colombia,Bogota,JTI,,,,,1,78391,0
Macau,Macau,BAT,Regular,Lights,STD,KS,3,320520778,4.7
France,Marseille,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,294000,0
Great Britain,Birmingham,KARELIA TOBACCO,Regular,Lights,SSL,100,2,12884400,0
Morocco,Essaouira,BAT,NTD Caps,Lights,SSL,100,1,2592924,0
Gambia,Banjul,IMPERIAL BRANDS,Regular,Lights,STD,100,1,22113600,2.2
Cambodia,Phnom Penh,IMPERIAL BRANDS,NTD Caps,Full Flavor,STD,KS,1,657600,0
Hong Kong,Hong Kong,JTI,Regular,Full Flavor,STD,100,2,252061608,0.6
United Arab Emirates,Sharjah,KT & G,Regular,Full Flavor,SSL,100,1,3585600,0
France,Nantes,JTI,Regular,Full Flavor,STD,KS,4,216915400,0.5
Spain,Mahon Airport,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,59509600,0.1
Morocco,Essaouira,IMPERIAL BRANDS,Regular,1mg,STD,KS,2,6759640,0
Great Britain,Newcastle,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,2,22589000,0
Morocco,Oujda,JTI,Regular,Ultralights,STD,KS,1,595200,0
Italy,Naples,POESCHL TABAK,Regular,Lights,STD,KS,1,996600,0
Panama,Panama Tocumen,BAT,Regular,Lights,SSL,100,1,239315800,21.3
China,Xuzhou Guanyin,BAT,Regular,Full Flavor,STD,100,1,129200,0
United Arab Emirates,Dubai,POESCHL TABAK,Regular,Lights,STD,KS,1,13590000,0
China,Hefei Xinqiao,JTI,Regular,Lights,STD,KS,4,17250722,0
China,Hefei Xinqiao,KT & G,NTD Caps,Lights,SSL,100,1,4632087,0
Mexico,Mexico City,JTI,Menthol,Full Flavor,STD,KS,1,2675200,0
China,Changsha Huanghua,KT & G,Regular,1mg,SSL,100,1,43038322,0
Egypt,Cairo,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,1576580800,33.8
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,12526800,0
Turkey,Kutahya Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,40135200,0
United Arab Emirates,Dubai,BAT,Regular,Full Flavor,STD,100,1,274300000,0.2
Greece,Skiathos,BAT,Regular,Full Flavor,STD,KS,1,1375600,0
Morocco,Tangier,BAT,Regular,Lights,STD,KS,1,166981800,0.1
Spain,Alicante,JTI,Regular,Lights,STD,KS,2,1134364200,1.3
United Arab Emirates,Dubai,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,25904600,0
Taiwan,Kaohsiung,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,1271271055,0.8
Morocco,Agadir,BAT,NTD Caps,Full Flavor,STD,KS,1,65038732,0.1
Egypt,Alexandria,IMPERIAL BRANDS,,,,,1,491446,0
Brazil,Belo Horizonte,BAT,Menthol,Full Flavor,STD,KS,1,781200,0
India,Bangalore,IMPERIAL BRANDS,Regular,Lights,STD,100,2,391365800,18.7
