DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Taiwan,Kaohsiung,PMI,MARLBORO,122427,MARLBORO - GOLD (3.5) KS RCB WHITE - TAIWAN DF,200,324116,1430564,1868336,12,12,12,1150611.8,5078502.2,6632592.8
Egypt,Cairo,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,666200,727400,908200,12,12,11,89937,96143.13,120856.95
Spain,Sevilla,BAT,BENSON & HEDGES,51437,BENSON & HEDGES - SMOOTH GOLD KS BOX,200,87800,84200,0,12,11,0,18481.9,22035.15,0
Turkey,Ankara Airport,BAT,PRINCE,51120,PRINCE - RICH TASTE KS BOX,200,18600,4800,13600,4,1,3,3523.7,993.4,2846
Great Britain,Newcastle,IMPERIAL BRANDS,RICHMOND,44644,RICHMOND - SUPERKINGS 100's BOX,200,205600,260200,333600,12,12,11,47288,61224.95,82928.32
France,Nice,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,200,37400,26400,15200,7,7,7,9537,8709.77,5383.5
Uzbekistan,Tashkent,BAT,UNDEFINED,0,UNDEFINED,0,770409,713321,602758,12,12,8,0,0,0
Turkey,Izmir Airport,BAT,DUNHILL,59491,DUNHILL - FINE CUT (BLACK) KS BOX,200,0,0,15000,0,0,6,0,0,2720.87
France,Tarbes - Lourdes,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,200,7600,4400,7600,3,1,1,1976,1491.7,2667.2
Great Britain,Southampton,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,LAMBERT & BUTLER - BLUE KS BOX,400,0,0,34400,0,0,9,0,0,7545
Morocco,Casablanca,BAT,LUCKY STRIKE,86131,LUCKY STRIKE - ADDITIVE FREE (RED) KS BOX,400,36256,0,0,4,0,0,4956.53075,0,0
Dominican Republic,Samana El Catey,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,2000,2400,2000,0,0,0,320,384,344
Italy,Verona,PMI,MARLBORO,125682,MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,400,0,109200,135600,0,9,11,0,24110.61,30286.5
China,Shenyang Taoxian,KT & G,ESSE,52454,ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,9310,106492,150834,4,12,11,5353.25,61386.4,86729.55
China,Beijing,NANYANG BROTHERS,DOUBLE HAPPINESS,85873,DOUBLE HAPPINESS - CLASSIC DELUXE LS BOX,200,70773,645438,1148050,10,11,11,59449.32,542167.92,964362
Japan,Chubu,JTI,SEVEN STARS,94946,SEVEN STARS - 4 KS SOFT,200,30400,1514200,4257200,3,12,12,623200,31041100,87272600
Turkey,Diyarbakir Airport,PMI,MARLBORO,123074,MARLBORO - GOLD (3.5) 100's SOFT 400 TRANSPARENT BUNDLE - TURKEY DF,400,0,400,7200,0,0,3,0,35,630
Brazil,Recife,BAT,LUCKY STRIKE,86599,LUCKY STRIKE - ORIGINAL TOBACCO (BLUE) KS BOX,600,2400,0,0,1,0,0,234,0,0
Spain,Sevilla,IMPERIAL BRANDS,FORTUNA,61088,FORTUNA - RED LINE KS BOX,200,10200,18800,12600,4,8,6,1973.7,4187.7,3095.04
Mexico,Mexico City,JTI,GLAMOUR,54225,GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,200,159000,61200,62600,11,9,9,26235,11625.3,10785
Turkey,Istanbul Asia Airport,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,400,68800,152800,114000,3,12,11,10234,25150,20128
Cambodia,Phnom Penh,CHINA NATIONAL,PANDA,103397,PANDA - YELLOW KS BOX,100,25000,140000,43100,6,12,5,0,154761.48,20849.86
China,Jinan Xiaoqiang,IMPERIAL BRANDS,GAULOISES,43534,GAULOISES - BLONDES LEGERES KS BOX,200,0,1424,2514,0,0,0,0,946.96,1671.81
Spain,Barcelona,PMI,L&M,123310,L&M - RED LABEL (5.0 CWB) KS RCB - SPAIN DF - IDM SPAIN,200,307200,418600,395600,12,12,11,63867.6,93243.15,96029.17
South Korea,Seoul,PMI,PARLIAMENT,89068,PARLIAMENT - ONE KS RCB JUMBO RC WHITE - KOREA DF,200,26000,0,0,5,0,0,3739,0,0
Dominican Republic,Punta Cana - Higuey,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,54200,236600,132600,5,11,11,6775,29575,16575
Peru,Lima,BAT,LUCKY STRIKE,99175,LUCKY STRIKE - DOUBLE CLICK WILD KS BOX C,600,0,0,121800,0,0,8,0,0,17458
Mexico,Mexico City,JTI,NATURAL AMERICAN SPIRIT,92510,NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,200,202400,95000,93000,12,10,11,32993.81,20506.49,20219.47
Brazil,Sao Paulo - Guarulhos,JTI,STERLING,44907,STERLING - SUPERKINGS MENTHOL 100's BOX,200,37400,4000,0,10,1,0,4253.35,572,0
Tunisia,Tunis,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,400,338400,301600,1200,12,11,1,52452,46748,186
Vietnam,Danang,PMI,MARLBORO,103644,MARLBORO - (RED FWD) KS BOX 400 SPECIAL OUTER - INDOCHINA DF,400,38000,282800,399200,4,11,11,4180,31329,43912
Italy,Rome Fiumicino,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,21600,120600,146400,6,12,11,3796.55,22168.54,27742
Russia,Moscow - Vnukovo,JTI,RUSSIAN STYLE,52062,RUSSIAN STYLE - KS RCB,200,110400,95400,102200,12,12,11,13800,11925,10382.43
Macau,Macau,JTI,CASTER,46127,CASTER - MILD KS BOX,200,424568,1364092,1373632,12,11,12,371497,1193580.5,1201928
Turkey,Istanbul Asia Airport,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,600,137400,0,0,9,0,0,19236,0,0
Japan,Tokyo - Narita,JTI,MEVIUS,123009,MEVIUS - SUPER LIGHTS KS BOX 40,400,0,312000,1894800,0,3,11,0,4680000,28422000
Jordan,Aqaba,JTI,CAMEL,37393,CAMEL,200,0,8800,1400,0,2,0,0,1386,228
Switzerland,Geneva,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,200,666200,818600,665800,12,12,11,189928.3,232504.4,189405.5
Dominican Republic,Punta Cana - Higuey,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,400,53600,205600,96400,6,11,11,9246,35466,16629
