Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Quanzhou Jinjiang,0.0,0.0,4.29,7.98,3.07,3
Omari (Saudi border),0.0,0.0,5.3,0.0,1.32,1
Cotonou,0.0,0.0,5.3,0.0,1.32,1
Cordoba,6.89,0.0,8.17,0.0,3.76,0
Addis Ababa,6.81,10.0,9.33,7.26,8.35,2
Hebei,5.15,0.0,5.3,0.0,2.61,0
Phu Quok,6.87,0.0,1.03,9.04,4.23,3
Sao Paulo - Guarulhos,6.85,10.0,8.0,8.64,8.37,2
St. Petersburg Marine,0.0,0.0,5.3,0.0,1.32,1
Kinshasa,6.92,0.0,1.2,0.0,2.03,0
Lagos,6.83,10.0,6.13,9.65,8.15,2
Rjieka Croatia,0.0,0.0,5.3,0.0,1.32,1
Oulu,0.0,0.0,5.3,0.0,1.32,1
Helsinki-Vantaa,7.04,0.0,1.68,0.0,2.18,0
Tampa,0.0,0.0,5.3,0.0,1.32,1
Male,5.33,0.0,2.05,8.94,4.08,3
Yangon,5.77,0.0,6.71,9.23,5.43,3
Dubai,6.57,8.82,3.6,9.07,7.01,2
Cheongju,6.08,9.9,2.89,4.47,5.83,2
Birmingham,6.38,0.0,6.22,9.72,5.58,3
Kristiansand,7.6,0.0,5.3,0.0,3.22,0
Seoul (downtown),0.0,0.35,0.0,0.0,0.09,1
Batumi,6.83,0.0,0.0,9.5,4.08,3
Memmingen,10.0,0.0,5.3,0.0,3.82,0
Kalmar,0.0,0.0,5.3,0.0,1.32,1
Islamqila,0.0,0.0,5.3,0.0,1.32,1
Dushanbe,7.86,0.0,5.3,0.0,3.29,0
Yangyang,6.67,10.0,0.0,0.0,4.17,2
Edinburgh,6.47,0.0,7.6,9.52,5.9,3
Samana El Catey,6.85,10.0,0.0,8.27,6.28,2
Vaxjo,4.67,0.0,0.0,0.0,1.17,0
Fiumicino,0.0,0.0,5.3,0.0,1.32,1
Komatsu,4.76,0.0,6.42,8.13,4.83,3
Orebro,7.78,0.0,5.3,9.67,5.69,3
Erfurt,10.0,0.0,0.0,0.0,2.5,0
Berlin Schoenefeld,0.0,0.0,5.3,0.0,1.32,1
Turkgozu Turkey Georgia Border,0.0,0.0,5.3,0.0,1.32,1
Asturias,6.97,0.0,1.13,0.0,2.02,0
Sarp Turkey Georgia Border,0.0,0.0,5.3,0.0,1.32,1
Praia,6.85,10.0,9.64,9.57,9.02,2
Varberg,0.0,0.0,5.3,0.0,1.32,1
Symi Port,0.0,0.0,5.3,0.0,1.32,1
La Goulette Port,0.0,0.0,5.3,0.0,1.32,1
Medina,6.87,10.0,6.21,0.0,5.77,2
Kyrgy/Kazakh,0.0,0.0,5.3,0.0,1.32,1
Yancheng Nanyang,6.73,0.0,5.3,0.0,3.01,0
Shenzhen Bao'an,7.19,0.0,0.85,0.0,2.01,0
Enfidha,6.85,9.99,5.33,8.55,7.68,2
Chambery,6.86,0.0,0.0,0.0,1.72,0
Banjul,6.9,0.0,6.3,0.0,3.3,0
Gerona,6.44,0.0,8.55,9.72,6.18,3
Innsbruck,0.0,0.0,5.3,0.0,1.32,1
Coolangatta,8.33,0.0,4.87,0.0,3.3,0
Luxor,6.79,0.0,6.54,8.96,5.57,3
Aalborg,6.67,0.0,8.01,0.0,3.67,0
Volgograd,6.88,0.0,2.97,6.99,4.21,3
Bergamo,6.86,0.0,7.94,9.3,6.02,3
Fethiye Port,0.0,0.0,5.3,0.0,1.32,1
Salalah,6.73,0.0,4.78,0.0,2.88,0
Elblag,5.0,0.0,5.3,0.0,2.58,0
Treviso,5.69,0.0,2.96,9.87,4.63,3
Ovda Eilat,0.0,0.0,5.3,0.0,1.32,1
Ioannina,6.98,0.0,0.0,8.47,3.86,3
Mazatlan,6.85,9.32,2.37,10.0,7.14,2
Roland Garros,6.67,10.0,1.52,7.17,6.34,2
Queretaro,7.14,0.0,4.71,7.57,4.86,3
Dublin,5.83,0.0,2.14,3.3,2.82,0
Shenzhen,0.0,0.0,5.3,0.0,1.32,1
Karup,0.0,0.0,5.3,0.0,1.32,1
Cork,5.67,0.0,2.15,7.09,3.73,3
Changsha Huanghua,6.52,9.45,2.61,10.0,7.14,2
