Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Kuwait,6.05,9.94,0.0,5.33,2
Kyiv - Zhulyany,7.72,0.0,0.0,2.57,0
Marseille,6.76,10.0,8.01,8.26,3
Aqaba,6.86,10.0,0.0,5.62,2
Bangui,8.33,0.0,0.0,2.78,0
Danang,6.67,0.0,0.0,2.22,0
Jinan Xiaoqiang,6.67,5.9,10.0,7.52,3
Rostov Don,7.81,0.0,0.0,2.6,0
Graz,6.79,0.0,10.0,5.6,1
Pula,8.89,0.0,0.0,2.96,0
Taichung,6.03,9.96,5.82,7.27,3
Punta del Este,3.33,0.0,0.0,1.11,0
Montego Bay,6.73,9.61,8.53,8.29,3
Gerona,6.44,0.0,9.72,5.39,1
Pengsheng,5.0,0.0,0.44,1.81,0
Cardiff,6.43,0.0,9.26,5.23,1
Abu Dhabi,5.75,9.62,8.47,7.95,3
Astrakhan,6.9,0.0,8.46,5.12,1
Curacao,6.75,0.0,0.0,2.25,0
Karpathos,5.76,0.0,0.0,1.92,0
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53,0
Los Cabos,6.83,9.93,0.0,5.59,2
Bandaranaike,5.1,0.0,9.66,4.92,1
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,0
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5,0
Antigua,6.79,0.0,0.0,2.26,0
Changzhou Benniu,6.91,0.0,0.0,2.3,0
Rome Fiumicino,6.87,0.0,9.63,5.5,1
Maputo,9.17,0.0,0.0,3.06,0
Queenstown,4.44,0.0,0.0,1.48,0
Krakow Balice,6.79,0.0,9.81,5.53,1
RIYADH,6.81,10.0,2.77,6.53,2
Gabon,6.79,0.0,5.83,4.21,1
Dublin,5.83,0.0,3.3,3.04,0
Mexico City,6.84,9.87,0.0,5.57,2
Wuxi Shuofang,6.71,10.0,9.95,8.89,3
Nis,6.53,0.0,0.0,2.18,0
Ciampino Airport,5.83,0.0,0.0,1.94,0
Vilnius,6.94,0.0,0.0,2.31,0
Fuerteventura,6.76,0.0,9.49,5.42,1
Glasgow Prestwick,6.36,0.0,6.82,4.39,1
Guadalajara,6.86,9.9,0.0,5.59,2
Fuzhou Changle,6.02,10.0,6.37,7.46,3
Luanda,6.9,0.0,0.0,2.3,0
Lulea,7.33,0.0,0.0,2.44,0
Dnipropetrovsk,8.0,0.0,0.0,2.67,0
Santo Domingo Las Americas,6.8,9.64,4.3,6.91,2
Zia,4.93,0.0,9.85,4.93,1
Zagreb,6.11,0.0,7.85,4.65,1
Alexandria,6.76,0.0,9.14,5.3,1
Jerba,6.47,9.98,0.0,5.48,2
Yerevan,6.67,0.0,3.45,3.37,0
Miyazaki,6.67,0.0,0.0,2.22,0
Moscow - Vnukovo,6.74,0.0,8.86,5.2,1
Lviv,7.36,0.0,0.0,2.45,0
Radom,5.56,0.0,7.48,4.35,1
Duesseldorf,6.8,0.0,7.15,4.65,1
Niamey,5.0,0.0,0.0,1.67,0
Yingsheng,10.0,0.0,0.0,3.33,0
Recife,6.86,9.99,9.49,8.78,3
Aberdeen,6.44,0.0,9.6,5.35,1
Lublin,6.82,0.0,0.0,2.27,0
Basel,6.35,10.0,4.59,6.98,2
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88,0
Hannover,6.79,0.0,0.0,2.26,0
Colombo,6.7,10.0,0.0,5.57,2
Manila Downtown Shop,0.0,0.0,0.0,0.0,0
Cali,6.8,8.86,5.97,7.21,3
Cam Ranh,6.22,0.0,6.37,4.2,1
Alexandoupolis,5.71,0.0,0.0,1.9,0
Milan - Linate,6.88,0.0,4.11,3.66,0
Cairo,6.79,10.0,0.0,5.6,2
Perth,6.71,10.0,0.0,5.57,2
Shymkent,7.92,0.0,0.0,2.64,0
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18,0
Leeds Bradford,6.23,0.0,9.19,5.14,1
Aktio,6.05,0.0,10.0,5.35,1
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06,1
Rotterdam,6.92,0.0,1.1,2.67,0
Nairobi,6.67,0.0,0.0,2.22,0
Melbourne,6.76,0.0,9.04,5.27,1
Erfurt,10.0,0.0,0.0,3.33,0
Humberside,6.67,0.0,0.0,2.22,0
Tuzla,4.91,0.0,9.87,4.93,1
Tulear,6.97,0.0,0.0,2.32,0
Lyon Saint Exupery,6.77,10.0,1.74,6.17,2
Asturias,6.97,0.0,0.0,2.32,0
Paris Charles De Gaulle,6.67,10.0,8.44,8.37,3
Manama,6.74,5.51,0.0,4.08,2
Cape Town,6.9,10.0,8.87,8.59,3
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33,0
Sendai,4.89,0.0,7.63,4.17,1
Poznan-Lawica,4.81,0.0,0.0,1.6,0
Olsztyn,6.84,0.0,0.0,2.28,0
Marka,6.89,0.0,0.0,2.3,0
Manchester,6.49,0.0,7.16,4.55,1
Hanoi,5.4,0.0,9.15,4.85,1
Milan - Malpensa,6.82,0.0,9.02,5.28,1
Tarbes - Lourdes,6.67,10.0,9.5,8.72,3
London City,6.8,0.0,8.87,5.22,1
Ouarzazate,6.83,10.0,6.95,7.93,3
Kigali,4.89,0.0,7.83,4.24,1
Guatemala City,6.89,5.12,4.46,5.49,2
Tunis,6.4,9.99,8.87,8.42,3
Bergen,6.81,0.0,5.7,4.17,1
Taiyuan Wusu,6.71,10.0,9.58,8.76,3
Moi,8.89,0.0,0.0,2.96,0
Mandalay,5.42,0.0,0.0,1.81,0
Chubu,6.58,8.98,8.52,8.03,3
Volgograd,6.88,0.0,6.99,4.62,1
