Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_D,Avg_Score
Strasbourg,6.92,1.0,0.0,13.0,0.0,10.0,5.640000000000001
Kota Kinabalu,6.67,0.0,0.0,20.0,3.372223071181363,,5.0211115355906815
Nanchang Changbei,6.62,1.0,1.0,80.0,10.0,7.44,8.020000000000001
Muscat,6.78,2.0,0.0,61.0,0.0,1.92,2.9
Beirut - Rafik Hariri,6.77,2.0,0.0,63.0,0.0,,3.385
Elblag,5.0,0.0,4.0,16.0,0.0,,2.5
Sanya Fenghuang,6.71,1.0,0.0,80.0,0.0,,3.355
Southampton,6.71,1.0,0.0,72.0,0.0,,3.355
Cochin,6.67,0.0,0.0,31.0,0.0,,3.335
Stavanger,6.78,2.0,0.0,58.0,0.0,,3.39
Santiago De Compostela,6.79,2.0,0.0,53.0,0.0,3.21,3.3333333333333335
Billund,6.67,0.0,0.0,18.0,0.0,,3.335
Belize City,5.38,2.0,6.0,26.0,0.0,,2.69
Curacao,6.75,1.0,0.0,40.0,0.0,,3.375
Bourgas,6.2,1.0,3.0,36.0,0.0,0.02,2.0733333333333333
Oita,7.22,1.0,0.0,6.0,0.0,,3.61
Poznan-Lawica,4.81,0.0,5.0,18.0,0.0,,2.405
Bordeaux,6.5,2.0,2.0,39.0,10.0,4.9,7.133333333333333
Kutahya Airport,6.95,9.0,0.0,105.0,10.0,,8.475
Charleroi,6.67,2.0,1.0,21.0,0.0,,3.335
St. George's Point Saline,6.81,3.0,0.0,72.0,9.9993873353484,1.01,5.939795778449468
Alexandria,6.76,3.0,0.0,111.0,0.0,,3.38
Fort-de-France,6.15,3.0,6.0,58.0,10.0,5.56,7.2366666666666655
Miyazaki,6.67,0.0,0.0,6.0,0.0,,3.335
Haiphong,8.33,2.0,0.0,4.0,0.0,,4.165
Asyut,5.33,2.0,6.0,25.0,0.0,,2.665
Aomori,4.44,0.0,2.0,6.0,0.0,,2.22
Aalborg,6.67,0.0,0.0,13.0,0.0,,3.335
Varna,6.76,1.0,0.0,36.0,0.0,,3.38
Christchurch,4.44,0.0,3.0,9.0,0.0,,2.22
Asturias,6.97,2.0,0.0,22.0,0.0,,3.485
St. Petersburg Pulkovo,6.75,1.0,0.0,38.0,0.0,0.0,2.25
Pengsheng,5.0,1.0,4.0,14.0,0.0,,2.5
Krasnoyarsk,6.88,3.0,0.0,46.0,0.0,10.0,5.626666666666666
Paris Orly,6.76,4.0,1.0,68.0,9.999999999999996,,8.379999999999999
Bremen,6.77,1.0,0.0,31.0,0.0,,3.385
Yangyang,6.67,0.0,0.0,73.0,10.0,,8.335
East Midlands,6.15,0.0,5.0,65.0,0.0,4.71,3.6199999999999997
Sochi,6.75,1.0,0.0,39.0,0.0,5.55,4.1000000000000005
Dresden,7.14,3.0,0.0,21.0,0.0,,3.57
Nador,6.86,6.0,0.0,102.0,9.98996676167996,0.05,5.633322253893321
Muan,6.56,0.0,1.0,61.0,10.0,,8.28
Vientiane,5.93,0.0,4.0,36.0,0.0,,2.965
Glasgow Prestwick,6.36,0.0,2.0,43.0,0.0,10.0,5.453333333333333
Tirana,6.19,4.0,10.0,113.0,0.0,0.33,2.1733333333333333
Kaohsiung,5.89,0.0,5.0,43.0,9.967393876535425,6.83,7.562464625511808
Graz,6.79,1.0,0.0,26.0,0.0,,3.395
Rzeszow,5.0,0.0,5.0,20.0,0.0,,2.5
Jaipur,4.87,0.0,7.0,26.0,0.0,,2.435
Cologne,6.91,3.0,0.0,41.0,0.0,,3.455
Mazatlan,6.85,5.0,0.0,91.0,9.321659754636126,,8.085829877318062
Minsk,6.79,1.0,0.0,26.0,0.0,,3.395
Goa,4.87,0.0,7.0,26.0,0.0,7.72,4.196666666666666
Santander,6.92,2.0,0.0,26.0,0.0,0.05,2.3233333333333333
Palma De Mallorca,6.48,2.0,3.0,72.0,0.0,,3.24
Trichy,4.87,0.0,7.0,26.0,0.0,,2.435
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,7.0,26.0,0.0,,2.435
Jieyang Chaoshan,6.71,1.0,0.0,74.0,,,6.71
Penang,6.67,0.0,0.0,21.0,10.0,,8.335
