Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Gabon,7.39,9.32,7.91,9.26,8.47
Dar Es Salaam,7.4,6.5,5.16,9.51,7.14
Southampton,2.87,1.48,4.36,2.03,2.68
Pisa,6.12,6.86,8.03,10.0,7.75
Mykonos,6.73,3.55,3.91,8.18,5.59
Windhoek,5.6,9.26,9.38,9.65,8.47
Cardiff,4.7,3.46,7.71,6.15,5.51
Charleroi,7.3,9.16,9.62,10.0,9.02
Penang,6.32,0.83,5.74,2.43,3.83
Aqaba,6.56,5.27,0.06,0.53,3.1
Wenzhou Longwan,5.91,0.34,0.06,0.22,1.63
Adana Airport,6.04,6.48,4.22,8.58,6.33
Fuzhou Changle,8.17,1.41,4.54,2.27,4.1
Luxor,7.56,9.59,5.77,7.98,7.72
Belize City,5.88,10.0,2.74,0.0,4.65
Beauvais,5.67,2.96,8.72,7.27,6.16
Milan - Linate,6.7,8.08,5.95,9.81,7.64
Skiathos,5.97,6.29,0.44,0.0,3.18
Cologne,6.01,6.75,7.58,8.91,7.31
Nanning Wuxu,6.96,0.88,8.74,0.59,4.29
Sanya Fenghuang,7.03,4.98,8.41,6.69,6.78
Ohrid,5.27,9.26,0.0,0.35,3.72
Managua,6.48,1.03,5.43,6.65,4.9
Banjul,8.21,6.18,6.42,8.37,7.3
Melbourne,5.81,9.96,8.3,5.35,7.36
Astana,6.01,8.75,3.65,0.0,4.6
Aktio,6.61,2.44,0.26,0.36,2.42
Fortaleza,6.51,7.04,9.26,9.77,8.14
Bandaranaike,7.08,10.0,2.66,8.39,7.03
London City,7.01,8.5,5.31,7.34,7.04
Kingston,6.95,10.0,4.51,3.44,6.22
Moscow - Domodedovo,5.09,2.38,4.5,5.53,4.38
Siem Reap,7.9,1.88,5.29,3.69,4.69
Palermo,6.1,3.3,6.35,9.13,6.22
Jerez De La Frontera,6.69,6.52,7.95,8.4,7.39
Faroe Islands,5.43,10.0,8.55,5.61,7.4
Ouarzazate,7.97,8.66,0.39,0.07,4.27
Astrakhan,5.91,3.42,2.58,4.36,4.07
Hefei Xinqiao,5.43,0.41,9.18,0.29,3.83
Lubumbashi,7.93,9.13,9.19,0.1,6.59
Tulear,4.44,0.0,0.88,0.93,1.56
Helsinki-Vantaa,7.78,10.0,9.37,9.16,9.08
Wuxi Shuofang,4.23,1.23,1.18,1.36,2.0
Wellington,7.48,9.54,7.2,3.41,6.91
Zagreb,6.4,9.88,6.45,9.78,8.13
Diyarbakir Airport,5.9,5.11,5.39,7.3,5.93
