Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Kayseri Airport,6.84,10.0,0.1,10.0,6.74
Beirut - Rafik Hariri,6.77,0.0,1.93,7.4,4.03
Orebro,7.78,0.0,0.0,9.67,4.36
Hatay Airport,9.52,0.0,0.0,0.0,2.38
Kyiv - Zhulyany,7.72,0.0,0.0,0.0,1.93
Gran Canaria,6.76,0.0,0.15,6.68,3.4
Yantai Penglai,6.03,9.97,0.06,0.06,4.03
Tangier,6.6,9.99,0.03,5.72,5.58
Trichy,4.87,0.0,3.93,6.82,3.9
Lucknow,4.87,0.0,3.93,5.82,3.66
Munich,6.35,0.0,0.88,1.1,2.08
Rosario,6.9,0.0,0.0,2.86,2.44
Palermo,6.86,0.0,0.35,9.23,4.11
Naha,4.94,0.0,3.24,6.2,3.6
Billund,6.67,0.0,2.85,9.35,4.72
Guernsey,5.56,0.0,2.5,0.62,2.17
Wellington,8.57,0.0,5.0,0.0,3.39
Maputo,9.17,0.0,5.0,0.0,3.54
Santa Cruz Viru Viru,10.0,0.0,5.0,10.0,6.25
Torino,5.78,0.0,1.89,1.33,2.25
Rostov Don,7.81,0.0,0.0,0.0,1.95
Varna,6.76,0.0,0.46,1.61,2.21
Xiamen Gaoqi,6.11,9.95,0.06,8.23,6.09
Abu Dhabi,5.75,9.62,0.16,8.47,6.0
Guangzhou Baiyun,6.09,9.75,0.06,9.98,6.47
Lublin,6.82,0.0,0.0,0.0,1.7
Windhoek,6.67,0.0,0.86,0.0,1.88
Basrah,6.81,0.0,3.01,0.0,2.46
Montevideo,6.67,0.0,5.0,2.86,3.63
Viracopos,6.85,10.0,0.33,7.38,6.14
Ohrid,6.83,0.0,0.0,4.57,2.85
Kuwait,6.05,9.94,0.14,0.0,4.03
Tokyo - Haneda,5.05,0.0,2.66,8.23,3.99
Memmingen,10.0,0.0,5.0,0.0,3.75
Cali,6.8,8.86,0.37,5.97,5.5
Bologna,5.78,0.0,2.14,6.35,3.57
Naples,6.04,0.0,0.32,7.68,3.51
Perth,6.71,10.0,0.36,0.0,4.27
Dar Es Salaam,6.5,10.0,0.24,0.0,4.18
Anna,4.87,0.0,3.93,0.0,2.2
Kota Kinabalu,6.67,3.37,2.16,4.98,4.3
Murcia,6.75,0.0,0.0,3.68,2.61
Florence,6.86,0.0,0.43,9.71,4.25
Budapest,8.33,0.0,5.0,0.0,3.33
Lviv,7.36,0.0,0.0,0.0,1.84
Min Vody,6.75,0.0,0.29,7.86,3.72
Brisbane,6.67,0.0,1.02,0.0,1.92
Ulaanbaatar,6.67,0.0,0.12,0.0,1.7
Alexandoupolis,5.71,0.0,0.0,0.0,1.43
Yanji Zhaoyangchuan,6.54,0.0,0.0,0.0,1.64
Stockholm Arlanda,6.92,0.0,3.53,9.86,5.08
Nice,6.77,10.0,0.49,0.0,4.31
Urumchi Diwobao,6.48,10.0,0.06,0.76,4.32
Eindhoven,6.88,0.0,7.6,0.0,3.62
Chitose,4.94,0.0,3.23,7.94,4.03
Beijing Daxing,0.0,0.0,0.08,6.8,1.72
London Southend Airport,6.74,0.0,0.65,0.0,1.85
Rotterdam,6.92,0.0,4.83,1.1,3.21
Karipur,4.87,0.0,3.93,3.69,3.12
Quanzhou,6.25,0.0,0.0,0.0,1.56
Luanda,6.9,0.0,1.51,0.0,2.1
Malmo,6.32,0.0,2.83,8.55,4.43
Muscat,6.78,0.0,0.4,7.26,3.61
San Salvador Comalapa,6.84,9.8,0.34,7.84,6.21
Cayenne (REC),0.0,0.0,0.54,10.0,2.64
PRISTINA,6.93,0.0,0.1,8.04,3.77
