Location,Cat_A,Green_Count,Red_Count,Total_SKUs
Santander,6.92,2,0,26
Palma De Mallorca,6.48,2,3,72
Trichy,4.87,0,7,26
Netaji Subhash Chandra Bose Int. Airport,4.87,0,7,26
Jieyang Chaoshan,6.71,1,0,74
Penang,6.67,0,0,21
Everrich Downtown Kinmen,5.89,0,5,43
Ciampino Airport,5.83,1,5,36
Roland Garros,6.67,2,1,31
A Coruna,6.92,2,0,26
Montpellier,6.88,1,0,16
Stockholm Arlanda,6.92,2,0,26
Niamey,5.0,1,4,14
Tarbes - Lourdes,6.67,0,0,20
Karipur,4.87,0,7,26
Kutaisi,6.78,1,0,29
Samarkand,10.0,8,0,8
Luxor,6.79,4,0,112
Sydney,6.67,0,0,21
Rotterdam,6.92,1,0,13
Hamburg,6.82,3,0,64
Beauvais,6.53,1,1,25
Acapulco,8.48,30,0,55
Min Vody,6.75,1,0,40
Siem Reap,7.16,14,0,95
Queretaro,7.14,2,0,14
Kos,6.72,1,0,60
Shenzhen Bao'an,7.19,13,0,83
Pula,8.89,2,0,3
Kyiv,7.5,11,0,44
Sandefjord-Torp,6.05,1,3,27
Kristiansand,7.6,9,0,32
Lisbon,6.86,3,0,53
Vilnius,6.94,1,0,12
Soekarno Hatta,6.85,3,0,54
Venice,6.78,2,0,60
La Palma,5.96,3,8,61
Torino,5.78,0,2,15
Kilimanjaro,6.75,3,1,41
Fuzhou Changle,6.02,0,9,93
Volgograd,6.88,2,0,32
Lusaka,6.92,1,0,13
Conakry,9.17,9,0,12
Sihanoukville,6.72,1,0,59
Sfax,6.12,3,5,43
Taiyuan Wusu,6.71,1,0,80
Odessa,7.62,6,0,21
Makhachkala,6.94,1,0,12
Banja Luka,6.67,2,1,22
Chambery,6.86,1,0,17
Helsinki-Vantaa,7.04,1,0,9
Rabil,6.09,2,5,46
Kinshasa,6.92,1,0,13
Moi,8.89,8,0,12
Quito,6.86,4,0,70
Tozeur,6.36,1,2,33
Mendoza,6.85,1,0,18
Faroe Islands,6.67,0,0,16
Bandaranaike,5.1,0,8,34
Riga,6.9,1,0,14
Khabarovsk,7.67,6,0,20
Norwich,6.82,2,0,44
Togo,5.83,1,3,20
Dortmund,6.77,1,0,32
Ras El Khaymah,6.8,2,0,50
Nantes,6.6,3,2,51
Kralendijk (Bonaire),6.79,1,0,26
Chisinau,7.76,17,0,52
La Paz Manuel Marquez de Leon,6.84,2,0,39
Jerez De La Frontera,6.91,3,0,41
Buenos Aires Aeroparque,6.91,3,0,41
Trondheim,6.79,2,0,56
Lucknow,4.87,0,7,26
Vienna,6.77,1,0,31
Santa Cruz Viru Viru,10.0,8,0,8
Kyiv - Zhulyany,7.72,13,0,41
Beira,8.75,5,0,8
Nouakchott,6.9,3,0,42
Samos,6.76,1,0,34
Kharkiv,7.78,5,0,15
London Heathrow,6.55,3,3,83
Skiathos,6.67,0,0,33
Jersey,6.67,0,0,30
Umea,7.08,1,0,8
Lviv,7.36,15,0,72
Providenciales (Turks and Caicos),7.5,1,0,4
Belgorod,7.78,3,0,9
Basrah,6.81,1,0,24
Yancheng Nanyang,6.73,1,0,54
Karpathos,5.76,1,2,11
Verona,6.83,2,0,41
Eskisehir Airport,6.87,5,0,81
Voronezh,7.85,11,0,31
Samara,6.67,0,0,13
Buenos Aires - Ezeiza,6.84,3,0,57
Aarhus,6.67,0,0,15
Sierra Leone,5.42,1,2,8
Bari,5.78,0,2,15
Edinburgh,6.47,0,2,69
Eindhoven,6.88,1,0,16
Abuja,6.28,3,4,43
Astrakhan,6.9,3,0,43
Anna,4.87,0,7,26
Baghdad,6.78,1,0,29
Dublin,5.83,0,3,24
Nis,6.53,1,1,25
Cam Ranh,6.22,0,2,30
Brisbane,6.67,0,0,20
Luanda,6.9,1,0,14
Madeira,6.67,2,1,24
Bilbao,6.84,3,0,58
Kuala Lumpur,6.52,2,2,47
Erfurt,10.0,7,0,7
Granada,5.76,1,2,11
Warsaw-Modlin,6.92,2,0,26
Sarajevo,4.91,0,5,19
Wroclaw,5.17,1,5,20
Zanzibar,5.44,1,4,19
Okayama,6.44,0,1,29
Bamako,6.89,1,0,15
Tashkent,5.6,2,5,25
Liberia,5.24,1,2,7
Cork,5.67,0,3,20
Lubumbashi,7.14,1,0,7
Ramon,10.0,15,0,15
Kavala,5.52,1,6,32
Munster-Osnabruck,4.9,1,5,17
Radom,5.56,1,2,9
Brussels,6.67,2,1,23
Memmingen,10.0,4,0,4
Entebbe,4.8,0,7,25
Bridgetown,6.76,1,0,34
Maputo,9.17,9,0,12
Mitilini,6.77,1,0,33
Shymkent,7.92,9,0,24
Guernsey,5.56,1,2,9
Ufa,7.62,8,0,28
Alesund,8.97,9,0,13
Hrabrovo,7.62,10,0,35
Vladivostok,9.67,9,0,10
Coolangatta,8.33,3,0,6
Tuzla,4.91,0,5,19
Yangon,5.77,1,4,26
Tulear,6.97,1,0,11
Ioannina,6.98,2,0,21
Paderborn,6.82,2,0,44
Hatay Airport,9.52,12,0,14
Nairobi,6.67,0,0,10
Bangui,8.33,2,0,4
Yingsheng,10.0,10,0,10
San Jose,5.24,1,2,7
Djibouti,5.0,1,2,6
Nanjing Lukou,5.42,1,2,8
Pamandzi,4.85,0,3,11
Hebei,5.15,1,3,11
Takamatsu,5.0,0,3,12
Budapest,8.33,2,0,4
Queenstown,4.44,0,2,6
Quanzhou,6.25,1,1,8
Nykoping,6.67,2,1,5
Orebro,7.78,1,0,3
Zagreb,6.11,1,1,6
Lulea,7.33,1,0,5
Karlsruhe Baden-Baden,10.0,4,0,4
Dushanbe,7.86,5,0,14
Windhoek,6.67,0,0,17
Kaunas,6.94,1,0,12
Genoa,5.76,1,2,11
Vigo,6.86,1,0,17
Guiyang Longdongbao,7.78,1,0,3
Wellington,8.57,4,0,7
Iwate,6.67,0,0,3
Bologna,5.78,0,2,15
Kigali,4.89,0,4,15
Auckland,4.44,0,3,9
Mandalay,5.42,1,2,8
Brno,4.44,0,3,9
Podgorica,5.56,1,1,3
Shizuoka,5.83,0,1,8
Harare,10.0,3,0,3
Gothenburg,6.67,0,0,4
Zadar,8.89,2,0,3
Mombasa,9.0,7,0,10
Dnipropetrovsk,8.0,2,0,5
La Paz El Alto,10.0,5,0,5
Yaounde,8.15,4,0,9
Kagoshima,5.71,0,1,7
Gibraltar,5.33,0,3,15
Dubrovnik,7.78,1,0,3
Gaborone,7.78,1,0,3
Montevideo,6.67,0,0,10
Manila - Ninoy Aquino,6.92,1,0,13
Split,7.78,1,0,3
Aktau,10.0,7,0,7
Kalibo,7.78,1,0,3
Cairns,7.08,1,0,8
Adelaide,6.19,1,1,7
Punta del Este,3.33,1,1,1
Fukushima,6.67,0,0,3
Mactan,6.67,0,0,3
Islamabad,3.33,1,1,1
