SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
MILD SEVEN - LIGHTS KS BOX,200,44119,China,Hangzhou Xiaoshan,JTI
UNDEFINED,0,0,Japan,Iwate,JTI
MARLBORO - GOLD (3.5) KS RCS 400 TRANSPARENT BUNDLE WHITE - GENERIC DF-ENG TXT,400,139345,India,Cochin,PMI
WINSTON - BLUE KS BOX,200,54088,El Salvador,San Salvador Comalapa,JTI
MARLBORO - (RED FWD) KS BOS 600 SPECIAL OUTER - GCC DF,600,96184,Oman,Muscat,PMI
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Indonesia,Ngurah Rai,BAT
DAVIDOFF - CLASSIC KS BOX,400,88459,Turkey,Izmir Airport,IMPERIAL BRANDS
WINSTON - CABIN 8 KS BOX,400,99617,Turkey,Izmir Airport,JTI
WEST - SILVER KS BOX,400,46755,Turkey,Izmir Airport,IMPERIAL BRANDS
PUEBLO - BLUE KS BOX,200,56602,Turkey,Izmir Airport,POESCHL TABAK
PUEBLO - (BROWN) KS BOX,200,87679,Turkey,Izmir Airport,POESCHL TABAK
WINSTON - RED KS BOX,200,54579,Italy,Verona,JTI
ESSE - CHANGE FROZEN MENTHOL 100's BOX C SUPERSLIMS,200,124472,South Korea,Busan - Kimhae,KT & G
SILK CUT - PURPLE KS BOX,200,45375,Spain,Alicante,JTI
LAMBERT & BUTLER - KS BOX,200,43912,France DP,Marseille,IMPERIAL BRANDS
CORSET - MAUVE A PORTER 100's NEW GENERATION SHOULDER BOX SUPERSLIMS,200,109455,Bulgaria,Bourgas,KING'S TOBACCO
VOGUE - LILAS 100's BOX SUPERSLIMS,200,51103,Tanzania,Kilimanjaro,BAT
L&M - BLUE LABEL (5.0 CWB) KS RCB - TURKEY DF,200,122610,Turkey,Antalya Airport,PMI
KENT - SWITCH KS RCB C,200,62490,Turkey,Antalya Airport,BAT
STERLING - DUAL KS BOX C,200,99392,Greece,Corfu,JTI
CHESTERFIELD - ORIGINAL (4.0) KS BOX - ITALY DF - IDM ITALY,200,123372,Italy,Bologna,PMI
WINSTON - CLASSIC KS BOX,200,54087,France,Marseille,JTI
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,France DP,Bordeaux,BAT
MILD SEVEN - INTERNATIONAL KS BOX,200,45709,China,Fuzhou Changle,JTI
KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,53451,China,Fuzhou Changle,KARELIA TOBACCO
STERLING - KS BOX,200,44904,Morocco,Marrakech,JTI
MILD SEVEN,200,39877,Vietnam,Phu Quok,JTI
UNDEFINED,0,0,Colombia,Medellin Jose Maria Cordova,JTI
MARLBORO - RED 3.5 KS BOS - GENERIC DF-ENG TXT - ALTERNATIVE,200,125596,Iraq,Suleymania Airport,PMI
MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,142119,Colombia,Medellin Jose Maria Cordova,PMI
HUANGHELOU - 1916 KS BOX,200,115802,Japan,Chubu,CHINA NATIONAL
UNDEFINED,0,0,India,Chattrapati Shivaji,KT & G
KENT - BLUE FUTURA 8 KS RCB,600,53002,Turkey,Kayseri Airport,BAT
THE KING - BLUE KS BOX,200,106307,Spain,Barcelona,KING'S TOBACCO
555 - ORIGINAL KS RCB,200,99306,Indonesia,Ngurah Rai,BAT
L&M - BLUE LABEL (NON TRAVEL) KS RCB - DENMARK DF - IDM DENMARK,200,124790,Denmark,Billund,PMI
VOGUE - LILAS 100's L-STICK BOX SUPERSLIMS,200,70512,Morocco,Tangier,BAT
SUPERKINGS - BLACK 100's BOX,200,70127,France,Tarbes - Lourdes,IMPERIAL BRANDS
SILK CUT - PURPLE KS BOX,200,45375,France,Tarbes - Lourdes,JTI
MARLBORO - FOREST MIST MENTHOL 100's BOX C STY SUPERSLIMS WHITE - GENERIC DF-ENG TXT - IDM EGYPT,200,142297,Egypt,Alexandria,PMI
MARLBORO - SOL SHUFFLE MENTHOL KS RCB (PROMO) C MUL WHITE - TURKEY DF,200,141734,Turkey,Bodrum Airport,PMI
WINSTON - BLUE 100's BOX SUPERSLIMS,200,54235,France DP,Nantes,JTI
VOGUE - VERTE MENTHOL 100's BOX SUPERSLIMS,200,107661,France DP,Nantes,JTI
MARLBORO - GOLD (3.5) KS RCB - SOUTH AFRICA DF,200,123661,South Africa,Johannesburg,PMI
MARLBORO - FLAVOR MIX (FWD) KS RCS - UAE DF,200,120013,United Arab Emirates,Abu Dhabi,PMI
CAMEL - KS BOX,400,43011,Ecuador,Quito,JTI
CAMEL - BLUE KS BOX,600,52735,Italy,Naples,JTI
MARLBORO - LUNA SHUFFLE MENTHOL KS RCS (PROMO) C MUL WHITE - GENERIC DF-ENG TXT,200,138965,Kenya,Jomo Kenyatta,PMI
HUANGHELOU - (BLACK) KS SOFT,200,88481,Japan,Osaka - Kansai,CHINA NATIONAL
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Morocco,Casablanca,PMI
DAVIDOFF - WHITE 90's OCTAGONAL PACK SLIMS,200,70489,Morocco,Casablanca,IMPERIAL BRANDS
