Year,EBROMId,Market,EBROM,Volume
2024,60207665,Ukraine,COMPLIMENT BLUE KS RCB 20 (-),17525
2024,60237037,Mongolia,LD LAB YELLOW JAZZ 100 DSP 20 SSL (-),1728
2024,50008665,Spain Mainland,MAYFAIR SUPERKINGS 100 BOX 20 (-),4985
2024,50004511,Italy,FUTURA KS BOX 20 (-),57406
2024,50001413,Canary Islands,DAVIDOFF CLASSIC LTK OCT 20 (-),1338
2024,60082120,Kosovo,FM BLUE KS RCB 20 (-),579
2024,60205913,Serbia,WINSTON XSTYLE RED LTK RCB 20 SLI (-),26769
2024,60256379,North Macedonia,DAVIDOFF ROSE 100 OCT 20 SSL (-),9167
2024,60207736,Pakistan,MARLBORO GOLD (3.5) KS RCB 20 (-),195565
2024,60164818,Corsica,JOHN PLAYER SPECIAL FIRFINOI 100 BOX 20 (-),3356
2024,60077019,Caribbean Other,CARIBBEAN & SEA (BROWN) KS BOX 10 (-),1923
2024,60126640,Russia,DOVER EXPORT (BLACK) KS BOX 20 SLI (-),226812
2024,50072462,Caribbean Other,MARYLAND BLONDES (BLUE) KS BOX 20 (-),502
2024,60055485,Japan,CHE BLANCO KS BOX 20 (-),7576
2024,60051321,Australia,JOHN PLAYER SPECIAL BLUE KS BOX 20 (-),30249
2024,60197200,Russia,CIGARONNE PHANTOM 120 SHO 20 SSL (-),929
2024,60238765,Luxembourg,CAMEL BLUE KS BOX 40 (-),20976
2024,60185182,Panama,LUCKY STRIKE (BRONZE) KS BOX 20 (-),266
2024,60256920,Bulgaria,MERILYN CRYSTAL PINK 100 BOX 20 SSL (-),18593
