IATA,CLUSTER_IATA,SIMILARITY_SCORE,RANK
BGO,RIC,0.999580170207,2
BGO,OUD,0.999103876349,3
BGO,TNG,0.997636872674,4
BGR,HAU,0.999810453088,1
BGR,BJL,0.999749365675,2
BGR,BLK,0.997945827314,3
BGR,TVC,0.997437964993,4
BGW,GGG,0.999714685715,1
BGW,KRT,0.998466231846,2
BGW,SJP,0.997515097755,3
BGW,CHS,0.997465270838,4
BGY,SGN,0.998080213833,1
BGY,KHG,0.992710355413,2
BGY,DJJ,0.991680082361,3
BGY,WNZ,0.989306722212,4
BHD,BJP,0.999125330038,1
BHD,MQL,0.998705145770,2
BHD,ZAD,0.998544457009,3
BHD,SCW,0.997069372566,4
BHE,DKA,0.999965496621,1
BHE,LUN,0.999192127338,2
BHE,AGU,0.998999572742,3
BHE,ZIH,0.998647298163,4
BHH,GDX,0.999286514806,1
BHH,AYQ,0.997022007185,2
BHH,SYO,0.996971553454,3
BHH,LLK,0.996945408945,4
BHI,MYR,0.999135675172,1
BHI,ITO,0.998223831521,2
BHI,BJZ,0.998142644471,3
BHI,DRW,0.997352824959,4
BHK,JER,0.999998014656,1
BHK,BIO,0.998812079737,2
BHK,HZH,0.998667841075,3
BHK,RNO,0.997605269307,4
BHM,RDZ,0.999829389456,1
BHM,SLL,0.999806772016,2
BHM,ABX,0.998695996802,3
BHM,MGF,0.998045487200,4
BHO,SFO,0.998576088393,1
BHO,IBZ,0.997738815327,2
BHO,BOS,0.994064335970,3
BHO,FCO,0.985846679995,4
BHX,GRO,0.998596688838,1
BHX,CZU,0.998169774758,2
BHX,BDO,0.997639739760,3
BHX,AEB,0.996858634333,4
BHY,CLT,0.996915508456,1
BHY,BBI,0.996867208843,2
BHY,KPO,0.994467246601,3
BHY,BKK,0.993234941332,4
BIA,CMH,0.999193086267,1
BIA,MIR,0.998014496626,2
BIA,RMA,0.997636519474,3
BIA,YZY,0.997336669281,4
BIK,YUM,0.995404542182,1
BIK,BFJ,0.991128417002,2
BIK,SRG,0.988753821640,3
BIK,CNX,0.986795543851,4
BIL,TU_032-01,0.999982558224,1
BIL,TU_039-01,0.999821752803,2
BIL,POP,0.999416697517,3
BIL,KGL,0.999262054742,4
BIO,JER,0.998814065081,1
BIO,BHK,0.998812079737,2
BIO,HZH,0.997479920812,3
BIO,MAB,0.997132885159,4
BIQ,ALB,0.999817968424,1
