2025-02-28 08:34:21,848 - __main__ - INFO - Starting 2023-based portfolio scoring...
2025-02-28 08:34:21,855 - __main__ - INFO - Loaded reference scores for 501 locations
2025-02-28 08:34:21,855 - __main__ - INFO - Loading data files...
2025-02-28 08:34:22,794 - __main__ - INFO - Loaded df_vols: 32937 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mc_per_product: 10923 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_pmi: 1662 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_comp: 6057 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded pax_data: 82265 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mrk_nat_map: 231 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded iata_location: 1011 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded similarity_file: 8536 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded country_figures: 1332 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_volumes: 16841 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_products: 119733 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded selma_df_map: 114923 rows
2025-02-28 08:34:31,565 - __main__ - WARNING - Error calculating Category B score for Antalya Gazipasa Airport: Found input variables with inconsistent numbers of samples: [4, 25]
2025-02-28 08:34:31,568 - __main__ - WARNING - Error calculating Category B score for Montego Bay: Found input variables with inconsistent numbers of samples: [5, 24]
2025-02-28 08:34:31,570 - __main__ - WARNING - Error calculating Category B score for London Heathrow: Found input variables with inconsistent numbers of samples: [2, 13]
2025-02-28 08:34:31,572 - __main__ - WARNING - Error calculating Category B score for Puerto Plata: Found input variables with inconsistent numbers of samples: [5, 11]
2025-02-28 08:34:31,574 - __main__ - WARNING - Error calculating Category B score for Shanghai Hongqiao: Found input variables with inconsistent numbers of samples: [4, 27]
2025-02-28 08:34:31,576 - __main__ - WARNING - Error calculating Category B score for Jerez De La Frontera: Found input variables with inconsistent numbers of samples: [2, 10]
2025-02-28 08:34:31,578 - __main__ - WARNING - Error calculating Category B score for Sanya Fenghuang: Found input variables with inconsistent numbers of samples: [2, 29]
2025-02-28 08:34:31,584 - __main__ - WARNING - Error calculating Category B score for Johor Bahru: Found input variables with inconsistent numbers of samples: [5, 9]
2025-02-28 08:34:31,586 - __main__ - WARNING - Error calculating Category B score for Penang: Found input variables with inconsistent numbers of samples: [4, 5]
2025-02-28 08:34:31,589 - __main__ - WARNING - Error calculating Category B score for Ulaanbaatar: Found input variables with inconsistent numbers of samples: [1, 22]
2025-02-28 08:34:31,591 - __main__ - WARNING - Error calculating Category B score for Oslo: Found input variables with inconsistent numbers of samples: [4, 1]
2025-02-28 08:34:31,593 - __main__ - WARNING - Error calculating Category B score for Tangier: Found input variables with inconsistent numbers of samples: [5, 30]
2025-02-28 08:34:31,599 - __main__ - WARNING - Error calculating Category B score for Hohhot Baita: Found input variables with inconsistent numbers of samples: [3, 29]
2025-02-28 08:34:31,601 - __main__ - WARNING - Error calculating Category B score for Aktio: Found input variables with inconsistent numbers of samples: [2, 15]
2025-02-28 08:34:31,603 - __main__ - WARNING - Error calculating Category B score for Amritsar: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,605 - __main__ - WARNING - Error calculating Category B score for Monastir: Found input variables with inconsistent numbers of samples: [5, 30]
2025-02-28 08:34:31,607 - __main__ - WARNING - Error calculating Category B score for Asturias: Found input variables with inconsistent numbers of samples: [2, 6]
2025-02-28 08:34:31,609 - __main__ - WARNING - Error calculating Category B score for Glasgow: Found input variables with inconsistent numbers of samples: [2, 13]
2025-02-28 08:34:31,612 - __main__ - WARNING - Error calculating Category B score for Ngurah Rai: Found input variables with inconsistent numbers of samples: [3, 39]
2025-02-28 08:34:31,614 - __main__ - WARNING - Error calculating Category B score for Cancun: Found input variables with inconsistent numbers of samples: [5, 19]
2025-02-28 08:34:31,616 - __main__ - WARNING - Error calculating Category B score for Sfax: Found input variables with inconsistent numbers of samples: [3, 13]
2025-02-28 08:34:31,618 - __main__ - WARNING - Error calculating Category B score for Perth: Found input variables with inconsistent numbers of samples: [4, 11]
2025-02-28 08:34:31,624 - __main__ - WARNING - Error calculating Category B score for Tokyo - Narita: Found input variables with inconsistent numbers of samples: [4, 21]
2025-02-28 08:34:31,626 - __main__ - WARNING - Error calculating Category B score for Salalah: Found input variables with inconsistent numbers of samples: [6, 5]
2025-02-28 08:34:31,628 - __main__ - WARNING - Error calculating Category B score for Kota Kinabalu: Found input variables with inconsistent numbers of samples: [4, 8]
2025-02-28 08:34:31,630 - __main__ - WARNING - Error calculating Category B score for Nairobi: Found input variables with inconsistent numbers of samples: [2, 4]
2025-02-28 08:34:31,632 - __main__ - WARNING - Error calculating Category B score for Male: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,634 - __main__ - WARNING - Error calculating Category B score for Durban: Found input variables with inconsistent numbers of samples: [4, 6]
2025-02-28 08:34:31,636 - __main__ - WARNING - Error calculating Category B score for Santiago Arturo Merino Benitez: Found input variables with inconsistent numbers of samples: [4, 8]
2025-02-28 08:34:31,639 - __main__ - WARNING - Error calculating Category B score for Brasilia: Found input variables with inconsistent numbers of samples: [6, 13]
2025-02-28 08:34:31,641 - __main__ - WARNING - Error calculating Category B score for Takamatsu: Found input variables with inconsistent numbers of samples: [4, 2]
2025-02-28 08:34:31,643 - __main__ - WARNING - Error calculating Category B score for London Stansted: Found input variables with inconsistent numbers of samples: [2, 13]
2025-02-28 08:34:31,645 - __main__ - WARNING - Error calculating Category B score for Marrakech: Found input variables with inconsistent numbers of samples: [5, 34]
2025-02-28 08:34:31,647 - __main__ - WARNING - Error calculating Category B score for Yanji Zhaoyangchuan: Found input variables with inconsistent numbers of samples: [2, 29]
2025-02-28 08:34:31,649 - __main__ - WARNING - Error calculating Category B score for Krasnoyarsk: Found input variables with inconsistent numbers of samples: [3, 9]
2025-02-28 08:34:31,651 - __main__ - WARNING - Error calculating Category B score for Windhoek: Found input variables with inconsistent numbers of samples: [4, 3]
2025-02-28 08:34:31,654 - __main__ - WARNING - Error calculating Category B score for Munich: Found input variables with inconsistent numbers of samples: [2, 10]
2025-02-28 08:34:31,656 - __main__ - WARNING - Error calculating Category B score for Hamburg: Found input variables with inconsistent numbers of samples: [2, 1]
2025-02-28 08:34:31,658 - __main__ - WARNING - Error calculating Category B score for Manama: Found input variables with inconsistent numbers of samples: [5, 28]
2025-02-28 08:34:31,660 - __main__ - WARNING - Error calculating Category B score for Antalya Airport: Found input variables with inconsistent numbers of samples: [5, 44]
2025-02-28 08:34:31,666 - __main__ - WARNING - Error calculating Category B score for Brussels: Found input variables with inconsistent numbers of samples: [1, 7]
2025-02-28 08:34:31,668 - __main__ - WARNING - Error calculating Category B score for Recife: Found input variables with inconsistent numbers of samples: [5, 13]
2025-02-28 08:34:31,670 - __main__ - WARNING - Error calculating Category B score for Tashkent: Found input variables with inconsistent numbers of samples: [1, 10]
2025-02-28 08:34:31,672 - __main__ - WARNING - Error calculating Category B score for Addis Ababa: Found input variables with inconsistent numbers of samples: [5, 33]
