Location	Cat_A	Cat_B	Cat_C	Cat_D	Avg_Score
Varna	6.67	1.76	1.13	8.85	4.6
Bilbao	7	1.95	8.04	9.69	6.67
Trabzon Airport	6.18	6.27	9.33	8.48	7.56
Suleymania Airport	5	10	0.41	3.11	2.84
Lodz	6.88	8	6.36	10	7.08
Alexandoupolis	5	4.65	0	0	2.41
Montpellier	6.67	10	9.44	8.37	8.16
Ulaanbaatar	6.67	3.91	1.94	7.9	5.11
Nantes	7.5	4.11	8.22	8.7	7.13
Santorini	7.18	5.27	4.42	8.73	6.4
Entebbe	4.81	10	3.16	8.55	5.51
Paramaribo	5.38	10	4.28	4.91	4.86
Changchun Longjia	7.33	1.05	6.3	1.46	4.04
Stuttgart	5	6.53	8.41	8.04	7
Santiago De Compostela	7.33	3.96	9.43	2.75	5.87
Buenos Aires Aeroparque	5.76	10	8.03	8.32	7.37
Cochin	5.71	10	1.43	8.79	5.31
Moscow - Vnukovo	6.36	3.51	4.11	5	4.74
Hannover	5.9	10	8.61	9.48	8
Bordeaux	7.22	4.65	6.43	7.06	6.34
Accra	6.11	6.75	5.74	8.32	6.73
Verona	6.67	9.41	8.21	9.81	8.52
Cali	6.67	2.45	7.47	8.71	6.32
Antalya Gazipasa Airport	6.01	4.58	8.43	6.8	6.46
Changzhou Benniu	7.22	0.78	4.83	1.28	3.53
Almaty	6.67	0.12	3.33	4.67	3.7
Montevideo	3.33	0	0.45	5.6	2.34
Kralendijk (Bonaire)	5.19	10	9.8	8.96	7.98
Trondheim	6.67	10	7.47	9.27	7.8
Manas	5	5.84	3.18	8	5.5
Sfax	7.29	4.82	4.13	8.55	6.2
Ningbo Lishe	5.83	2.57	0.23	3	2.91
Gaziantep Airport	6.44	5.41	4.48	7.98	6.08
Nuernberg	8.18	6.13	7.81	7.43	7.39
Aberdeen	5.56	5.43	6.74	6.16	5.97
Olsztyn	4.79	8.18	0	0	3.24
Moscow - Sheremetyevo	5.56	10	0.72	0.18	2.15
Johor Bahru	6	5.62	4.85	3.6	5.02
Naha	6.19	10	5.19	2.62	4.67
Puerto Plata	6.67	7.11	4.42	8.32	6.63
Split	8.33	10	6.26	10	7.3
Samsun Airport	6.32	5.3	5.29	8.37	6.32
Manila - Ninoy Aquino	7.5	10	8.61	8.41	8.17
Yantai Penglai	7.33	3.43	5.56	3.97	5.07
Almeria	7.5	4.97	8.1	0.78	5.34
Medellin Jose Maria Cordova	5.6	10	7.57	8.93	7.37
Bologna	6.67	10	7.99	10	7.33
Praia	6.36	3.94	9.64	7.26	6.8
Piarco	6.14	0.72	2.03	3.05	2.98
