Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Rome Fiumicino,6.87,4.0,0.0,66.0,1.14,0.0,0.81,2.205
Shanghai Hongqiao,6.1,0.0,8.0,94.0,0.34,0.11,0.21,1.69
St. Maarten Princess Juliana,5.76,2.0,4.0,22.0,,0.0,,2.88
Trabzon Airport,6.84,5.0,0.0,99.0,0.01,0.01,0.2,1.765
Almeria,6.36,2.0,3.0,43.0,0.38,0.01,0.1,1.7125
Monastir,6.39,4.0,8.0,144.0,0.35,0.01,,2.2499999999999996
Puerto Vallarta,6.84,6.0,0.0,114.0,0.29,0.0,,2.3766666666666665
Jinan Xiaoqiang,6.67,0.0,0.0,87.0,0.3,0.14,9.88,4.2475000000000005
Mykonos,5.53,1.0,8.0,44.0,0.73,0.01,0.16,1.6075
Lublin,6.82,2.0,0.0,43.0,10.0,,,8.41
Florence,6.86,3.0,0.0,51.0,0.79,0.01,1.0,2.165
Kunming Wujiaba,6.16,1.0,8.0,98.0,0.3,0.03,0.86,1.8375000000000001
Puerto Plata,6.82,5.0,0.0,106.0,0.01,0.0,0.08,1.7275
Bangalore,6.18,1.0,7.0,89.0,0.64,0.0,0.03,1.7125
Seoul,5.74,0.0,19.0,136.0,0.81,0.76,3.76,2.7675
Macau,6.67,0.0,0.0,33.0,0.18,0.34,,2.3966666666666665
Samsun Airport,6.84,10.0,0.0,196.0,0.04,0.0,0.14,1.755
Jerba,6.47,5.0,7.0,151.0,0.0,0.01,,2.1599999999999997
Humberside,6.67,0.0,0.0,45.0,0.3,,,3.485
Aberdeen,6.44,0.0,2.0,58.0,0.0,0.01,0.01,1.615
Astana,6.75,1.0,0.0,40.0,7.76,,2.02,5.510000000000001
Kingston,6.67,0.0,0.0,25.0,10.0,0.01,,5.560000000000001
Xiamen Gaoqi,6.11,0.0,8.0,95.0,0.3,0.01,0.04,1.615
Cairo,6.79,6.0,0.0,164.0,0.01,0.0,1.05,1.9625
Guayaquil,5.23,2.0,9.0,37.0,3.0,0.0,,2.7433333333333336
Toulouse,6.86,4.0,0.0,69.0,1.25,0.0,,2.703333333333333
Moscow - Vnukovo,6.74,1.0,0.0,45.0,0.23,0.01,0.03,1.7525000000000002
Heraklion Airport,6.75,2.0,0.0,78.0,1.42,0.01,0.01,2.0475
Malmo,6.32,0.0,1.0,19.0,10.0,0.01,0.06,4.0975
Changchun Longjia,5.96,1.0,10.0,90.0,0.71,0.2,8.88,3.9375
Al Hoceima,6.67,0.0,0.0,109.0,,,0.06,3.3649999999999998
Milan - Linate,6.88,3.0,0.0,47.0,0.79,0.0,0.67,2.085
Indira Gandhi,5.25,1.0,9.0,40.0,10.0,0.0,,5.083333333333333
Hiroshima,4.89,0.0,4.0,15.0,10.0,0.96,,5.283333333333334
Lille,6.9,2.0,0.0,29.0,0.53,0.0,0.81,2.06
Exeter,6.72,1.0,0.0,67.0,0.0,0.01,,2.243333333333333
Belgrade,6.83,2.0,0.0,42.0,0.76,0.01,0.16,1.94
Managua,6.87,4.0,0.0,66.0,3.1,0.0,0.44,2.6025
Vaxjo,4.67,1.0,2.0,5.0,10.0,,,7.335
Amsterdam - Schiphol,6.79,1.0,0.0,27.0,10.0,0.0,0.16,4.2375
Szczecin,6.89,3.0,0.0,45.0,2.31,0.01,,3.07
Accra,6.83,4.0,0.0,80.0,0.06,0.01,,2.3
Douala,7.0,1.0,0.0,10.0,10.0,0.01,,5.670000000000001
Barcelona,6.54,3.0,3.0,76.0,0.1,0.01,0.06,1.6774999999999998
Johannesburg,6.82,2.0,0.0,44.0,0.07,0.0,0.54,1.8575000000000002
Newcastle,6.47,0.0,2.0,68.0,0.0,0.0,0.05,1.63
Ibaraki,4.44,0.0,3.0,9.0,10.0,2.44,,5.626666666666668
